N,P,K,pH,recommended_N_kg_per_acre,recommended_P2O5_kg_per_acre,recommended_K2O_kg_per_acre,urea,ssp,mop
96.0,25.0,113.0,7.17,51.29,20.18,24.28,111.51,126.15,40.46
85.0,8.0,175.0,4.77,53.9,28.15,20.87,117.18,175.93,34.78
71.0,10.0,117.0,7.67,55.71,27.84,23.75,121.11,174.01,39.58
104.0,19.0,161.0,,48.53,22.87,21.84,105.5,142.91,36.4
94.0,10.0,19.0,7.83,50.54,27.73,29.36,109.87,173.33,48.94
109.0,13.0,181.0,7.27,48.72,26.31,20.29,105.91,164.42,33.81
103.0,22.0,164.0,7.8,49.99,21.28,21.62,108.68,132.98,36.04
65.0,7.0,175.0,7.85,57.43,29.18,20.83,124.86,182.4,34.72
79.0,10.0,183.0,7.85,53.67,27.67,20.98,116.67,172.93,34.96
86.0,10.0,140.0,5.61,52.99,27.31,22.22,115.19,170.69,37.03
76.0,9.0,151.0,5.83,54.89,27.24,21.25,119.33,170.27,35.42
69.0,8.0,193.0,5.4,56.37,27.63,18.92,122.55,172.72,31.54
98.0,15.0,195.0,7.69,51.1,24.68,19.63,111.08,154.23,32.72
69.0,13.0,18.0,7.68,56.38,26.23,30.17,122.56,163.91,50.28
103.0,7.0,180.0,6.25,49.94,28.03,20.25,108.57,175.17,33.75
91.0,9.0,191.0,7.65,51.85,27.96,18.98,112.73,174.77,31.63
111.0,14.0,65.0,6.66,48.03,24.7,27.48,104.42,154.41,45.81
97.0,21.0,127.0,7.37,51.11,22.18,22.77,111.1,138.61,37.95
123.0,24.0,188.0,6.59,44.23,21.02,20.3,96.16,131.35,33.83
64.0,13.0,18.0,8.01,56.94,27.37,31.35,123.79,171.04,52.25
69.0,13.0,164.0,7.72,55.82,25.07,21.34,121.36,156.71,35.57
113.0,23.0,149.0,7.04,46.89,22.28,22.35,101.93,139.27,37.25
121.0,23.0,199.0,7.3,45.58,21.49,18.81,99.09,134.31,31.36
84.0,14.0,110.0,7.41,54.4,25.7,23.49,118.25,160.6,39.16
79.0,10.0,183.0,7.85,53.51,27.32,19.72,116.32,170.76,32.86
125.0,28.0,125.0,6.77,45.77,19.42,22.95,99.51,121.36,38.26
54.0,9.0,184.0,8.27,57.85,27.61,19.24,125.77,172.55,32.06
109.0,6.0,113.0,5.67,47.93,29.92,25.08,104.2,187.02,41.8
84.0,17.0,135.0,6.72,53.33,23.83,23.04,115.94,148.91,38.39
103.0,14.0,114.0,7.39,49.87,26.13,24.35,108.41,163.31,40.58
103.0,24.0,139.0,7.38,49.97,20.56,22.51,108.63,128.52,37.51
90.0,9.0,19.0,8.26,52.63,27.66,29.77,114.42,172.9,49.62
56.0,10.0,169.0,7.81,58.52,26.61,21.34,127.22,166.29,35.57
113.0,22.0,200.0,6.61,47.03,22.12,18.98,102.24,138.27,31.64
64.0,9.0,139.0,8.04,57.89,28.57,22.93,125.84,178.54,38.21
64.0,9.0,191.0,8.04,57.05,27.65,19.44,124.02,172.83,32.4
96.0,11.0,118.0,7.41,49.78,26.68,23.75,108.22,166.76,39.58
53.0,9.0,118.0,8.09,58.49,27.03,23.22,127.16,168.95,38.69
74.0,9.0,149.0,8.13,54.46,27.56,21.07,118.4,172.27,35.12
69.0,10.0,194.0,7.66,56.6,26.29,19.23,123.04,164.34,32.05
109.0,11.0,159.0,6.14,48.31,26.25,21.49,105.03,164.08,35.81
85.0,10.0,171.0,5.14,53.55,27.39,20.1,116.42,171.16,33.49
51.0,10.0,199.0,7.83,59.46,28.04,19.04,129.26,175.26,31.74
54.0,7.0,113.0,8.87,59.33,30.29,24.25,128.97,189.28,40.41
69.0,8.0,191.0,5.12,56.7,27.8,18.46,123.26,173.74,30.77
121.0,35.0,110.0,7.58,45.55,16.86,23.94,99.03,105.38,39.9
98.0,23.0,160.0,7.75,50.77,21.55,21.6,110.36,134.66,36.01
110.0,9.0,118.0,8.3,47.47,27.61,24.11,103.2,172.56,40.19
51.0,9.0,169.0,8.3,59.51,27.96,20.28,129.37,174.75,33.81
108.0,7.0,195.0,5.65,48.09,28.64,19.38,104.55,178.98,32.3
61.0,9.0,113.0,8.18,56.84,27.77,24.73,123.57,173.54,41.22
88.0,25.0,150.0,7.63,52.79,20.26,22.39,114.76,126.59,37.31
65.0,15.0,185.0,8.06,56.62,24.16,19.85,123.1,151.01,33.09
124.0,24.0,17.0,6.28,45.21,20.02,29.75,98.28,125.15,49.58
99.0,10.0,136.0,5.82,50.58,27.64,22.53,109.97,172.76,37.54
109.0,18.0,103.0,7.63,48.56,23.48,25.05,105.56,146.77,41.76
91.0,15.0,19.0,7.65,52.33,24.64,29.96,113.77,154.01,49.93
99.0,15.0,190.0,7.38,50.12,25.01,19.91,108.96,156.28,33.19
110.0,11.0,102.0,6.63,47.66,27.28,24.95,103.61,170.48,41.58
85.0,13.0,149.0,6.7,52.94,26.01,22.47,115.08,162.55,37.45
110.0,64.0,198.0,47.49,46.65,15.0,19.17,101.41,93.75,31.95
54.0,9.0,114.0,8.1,58.04,28.44,24.55,126.18,177.72,40.92
73.0,11.0,154.0,7.96,54.34,27.75,22.2,118.13,173.42,36.99
98.0,23.0,160.0,7.75,49.6,21.7,21.0,107.83,135.6,35.0
113.0,13.0,193.0,7.01,47.72,26.48,18.52,103.74,165.53,30.86
115.0,19.0,192.0,6.67,46.28,23.95,20.25,100.6,149.66,33.75
129.0,23.0,200.0,7.36,43.9,22.08,19.13,95.43,137.99,31.88
94.0,23.0,174.0,7.3,52.24,21.77,19.7,113.56,136.05,32.84
104.0,23.0,176.0,7.07,48.91,21.76,20.08,106.34,135.99,33.47
90.0,27.0,110.0,6.36,52.59,19.91,24.79,114.33,124.45,41.31
54.0,13.0,141.0,7.62,58.45,25.24,22.4,127.07,157.76,37.33
82.0,24.0,116.0,7.39,53.44,21.37,23.78,116.16,133.57,39.64
84.0,9.0,169.0,5.4,52.44,26.89,21.56,114.0,168.04,35.93
104.0,25.0,133.0,7.32,48.93,20.02,22.5,106.37,125.15,37.49
53.0,9.0,118.0,8.09,60.07,28.48,23.52,130.59,178.01,39.2
54.0,10.0,159.0,8.16,57.82,27.75,21.57,125.69,173.46,35.94
64.0,13.0,171.0,7.66,57.55,26.79,20.94,125.1,167.45,34.89
90.0,27.0,110.0,6.36,52.19,19.44,24.65,113.46,121.48,41.08
69.0,19.0,154.0,5.06,55.72,22.51,22.22,121.14,140.68,37.03
99.0,12.0,175.0,7.46,49.04,26.21,20.6,106.62,163.79,34.33
95.0,15.0,191.0,7.44,51.06,25.06,19.78,111.0,156.63,32.97
51.0,9.0,169.0,8.3,59.38,27.75,20.73,129.08,173.42,34.55
66.0,10.0,127.0,7.87,56.99,27.93,23.41,123.88,174.56,39.02
79.0,15.0,117.0,7.89,54.22,24.78,24.03,117.86,154.9,40.06
97.0,15.0,113.0,7.72,51.88,25.21,24.33,112.79,157.57,40.55
69.0,11.0,145.0,8.9,56.01,26.21,22.69,121.76,163.79,37.81
95.0,21.0,117.0,7.5,50.18,22.57,24.26,109.09,141.06,40.43
98.0,18.0,171.0,7.18,50.54,23.65,20.76,109.88,147.82,34.6
94.0,10.0,19.0,7.83,51.38,26.8,29.46,111.69,167.5,49.09
54.0,13.0,141.0,7.62,60.29,25.76,22.57,131.06,160.99,37.62
73.0,11.0,154.0,7.96,56.07,26.69,21.75,121.89,166.81,36.24
126.0,57.0,195.0,8.13,45.09,15.0,19.4,98.01,93.75,32.33
113.0,17.0,113.0,6.73,48.57,25.16,25.32,105.59,157.27,42.21
74.0,9.0,187.0,8.07,54.25,27.64,19.52,117.93,172.76,32.53
121.0,25.0,120.0,7.5,45.29,20.35,24.01,98.45,127.21,40.02
79.0,10.0,104.0,8.08,53.46,25.99,25.29,116.21,162.45,42.16
99.0,9.0,157.0,5.93,49.89,27.16,21.63,108.45,169.77,36.05
69.0,10.0,164.0,7.88,55.1,27.09,22.33,119.78,169.33,37.21
120.0,15.0,117.0,7.19,46.51,24.59,23.79,101.1,153.68,39.65
82.0,24.0,116.0,7.39,53.42,21.78,24.2,116.14,136.12,40.34
113.0,13.0,193.0,7.01,46.22,25.8,19.02,100.49,161.26,31.7
90.0,9.0,19.0,8.26,51.19,28.47,29.68,111.28,177.96,49.47
103.0,7.0,180.0,6.25,49.65,28.64,20.32,107.94,178.98,33.87
84.0,6.0,146.0,5.51,53.87,29.07,22.66,117.11,181.7,37.77
111.0,21.0,121.0,7.98,49.4,22.25,23.9,107.39,139.04,39.83
79.0,7.0,194.0,5.18,56.53,28.6,19.99,122.89,178.76,33.32
103.0,20.0,17.0,7.73,49.73,23.78,29.93,108.11,148.63,49.89
73.0,11.0,154.0,7.96,54.61,25.41,21.59,118.71,158.8,35.99
95.0,7.0,194.0,1.55,49.29,27.4,20.71,107.16,171.24,34.52
113.0,13.0,169.0,6.44,47.61,25.57,21.06,103.51,159.84,35.1
63.0,10.0,180.0,8.07,56.75,27.26,19.84,123.37,170.37,33.07
105.0,17.0,188.0,7.77,48.67,24.51,19.37,105.8,153.21,32.29
60.0,14.0,155.0,7.65,57.51,25.73,21.23,125.02,160.84,35.38
103.0,20.0,153.0,6.93,49.29,22.52,22.29,107.15,140.75,37.15
69.0,15.0,163.0,7.92,57.05,25.61,21.04,124.03,160.07,35.06
96.0,11.0,118.0,7.41,50.93,27.42,23.98,110.71,171.36,39.97
85.0,9.0,194.0,7.51,52.87,27.81,19.33,114.94,173.82,32.21
115.0,20.0,113.0,7.29,46.17,23.33,24.59,100.37,145.8,40.98
113.0,13.0,169.0,6.44,46.06,26.06,20.44,100.13,162.9,34.06
75.0,9.0,108.0,7.78,54.61,27.36,23.98,118.72,171.02,39.97
94.0,9.0,180.0,6.46,51.16,28.12,20.31,111.21,175.74,33.85
124.0,24.0,17.0,6.28,46.61,21.02,30.28,101.34,131.35,50.47
113.0,21.0,155.0,7.01,47.5,22.3,21.87,103.27,139.38,36.44
99.0,15.0,125.0,7.34,50.99,25.88,23.1,110.84,161.77,38.49
83.0,17.0,110.0,7.5,53.0,22.63,24.74,115.22,141.43,41.23
63.0,10.0,58.0,7.91,56.45,26.4,27.15,122.72,165.0,45.25
95.0,21.0,117.0,7.5,50.23,21.59,23.72,109.19,134.92,39.53
69.0,12.0,162.0,7.59,55.62,26.13,20.81,120.91,163.33,34.68
71.0,10.0,117.0,7.81,57.5,27.1,24.63,125.01,169.36,41.05
113.0,17.0,174.0,7.04,46.74,23.2,20.88,101.61,144.97,34.79
111.0,13.0,175.0,7.63,48.47,25.31,20.8,105.37,158.18,34.67
99.0,15.0,125.0,7.34,49.48,24.48,24.12,107.56,153.02,40.21
121.0,23.0,199.0,7.3,46.55,22.87,20.47,101.19,142.97,34.11
99.0,15.0,125.0,7.34,50.51,26.08,22.65,109.8,163.01,37.74
125.0,28.0,125.0,6.77,44.87,18.9,23.13,97.55,118.14,38.55
84.0,10.0,195.0,7.77,53.17,27.03,18.99,115.58,168.95,31.65
109.0,6.0,113.0,5.67,47.68,28.36,23.79,103.64,177.25,39.66
113.0,13.0,169.0,6.44,47.76,24.76,20.32,103.82,154.72,33.87
63.0,10.0,180.0,8.07,57.04,27.18,20.05,123.99,169.87,33.42
98.0,64.0,178.0,6.63,49.42,15.0,19.71,107.43,93.75,32.85
99.0,17.0,179.0,6.88,49.18,24.05,20.43,106.91,150.31,34.05
85.0,10.0,171.0,5.14,53.14,26.29,20.77,115.52,164.31,34.61
103.0,22.0,176.0,7.62,50.66,21.39,20.68,110.14,133.71,34.47
123.0,10.0,125.0,7.42,45.53,27.34,23.75,98.97,170.87,39.59
65.0,14.0,81.0,7.87,56.91,25.67,26.44,123.71,160.44,44.07
76.0,11.0,113.0,7.72,55.03,27.05,24.03,119.63,169.07,40.06
113.0,19.0,118.0,7.49,48.44,22.41,24.98,105.31,140.05,41.63
51.0,9.0,155.0,8.01,59.98,28.21,21.82,130.38,176.33,36.36
69.0,9.0,103.0,5.76,55.87,27.22,23.89,121.46,170.12,39.81
120.0,21.0,190.0,6.88,46.89,22.68,19.1,101.92,141.75,31.83
60.0,10.0,171.0,7.99,58.34,27.24,19.87,126.83,170.27,33.12
100.0,18.0,198.0,6.27,51.23,22.82,19.13,111.37,142.65,31.88
74.0,9.0,18.0,8.01,55.35,27.51,29.86,120.32,171.94,49.77
99.0,25.0,184.0,6.63,49.22,20.72,19.73,107.0,129.5,32.88
129.0,23.0,200.0,7.36,43.11,21.77,20.01,93.71,136.05,33.34
103.0,17.0,103.0,7.34,50.72,24.02,25.09,110.26,150.1,41.82
121.0,25.0,81.0,7.18,47.18,21.42,26.5,102.56,133.87,44.17
110.0,17.0,103.0,6.91,47.86,24.7,24.35,104.04,154.4,40.59
70.0,9.0,126.0,5.31,55.69,27.55,22.94,121.07,172.16,38.23
74.0,10.0,180.0,7.29,56.37,27.7,20.22,122.54,173.13,33.7
98.0,64.0,178.0,6.63,49.51,15.0,20.41,107.64,93.75,34.01
98.0,15.0,195.0,7.69,49.68,26.18,18.37,108.01,163.6,30.62
74.0,9.0,18.0,8.01,55.71,26.96,29.83,121.12,168.52,49.72
69.0,15.0,160.0,7.73,55.88,24.44,21.41,121.49,152.78,35.68
65.0,10.0,175.0,5.89,57.0,28.14,20.39,123.9,175.88,33.99
94.0,13.0,110.0,7.4,51.07,25.27,23.99,111.02,157.91,39.99
125.0,9.0,117.0,6.08,45.27,26.91,23.71,98.41,168.17,39.52
109.0,11.0,159.0,6.14,49.33,26.51,21.37,107.23,165.68,35.62
103.0,20.0,17.0,7.73,49.47,23.0,30.03,107.55,143.76,50.04
121.0,35.0,194.0,7.58,46.32,15.94,19.66,100.69,99.62,32.77
54.0,7.0,159.0,8.62,57.56,28.21,22.0,125.13,176.31,36.67
66.0,7.0,149.0,7.19,56.76,28.2,21.91,123.39,176.22,36.52
79.0,7.0,47.0,6.86,53.53,28.17,27.95,116.36,176.08,46.59
99.0,25.0,184.0,6.63,49.22,19.97,20.18,107.01,124.83,33.63
98.0,15.0,195.0,7.69,49.7,26.37,19.61,108.04,164.81,32.68
115.0,9.0,143.0,6.38,46.73,27.88,22.2,101.59,174.24,37.0
125.0,28.0,125.0,6.77,45.73,19.68,23.9,99.42,123.01,39.83
54.0,7.0,103.0,7.62,58.14,28.31,25.31,126.39,176.92,42.18
121.0,19.0,169.0,7.42,45.82,23.09,21.51,99.62,144.3,35.84
98.0,9.0,195.0,5.68,50.01,27.27,20.19,108.72,170.45,33.65
94.0,9.0,122.0,7.66,50.94,26.11,23.25,110.73,163.18,38.74
79.0,10.0,104.0,8.08,55.0,26.42,24.77,119.57,165.14,41.28
74.0,10.0,179.0,8.14,55.63,26.16,20.27,120.94,163.52,33.78
113.0,21.0,155.0,7.01,48.47,20.95,21.65,105.37,130.94,36.08
84.0,9.0,169.0,5.4,53.08,26.98,20.54,115.38,168.64,34.23
118.0,19.0,199.0,6.7,45.84,23.99,18.32,99.66,149.97,30.53
104.0,19.0,161.0,,49.02,23.17,21.39,106.57,144.83,35.64
79.0,7.0,195.0,6.9,54.39,29.37,18.92,118.25,183.59,31.53
99.0,10.0,295.0,7.64,50.34,27.5,15.0,109.44,171.85,25.0
103.0,21.0,198.0,7.03,48.53,22.77,18.72,105.51,142.31,31.2
64.0,15.0,179.0,7.86,57.27,24.46,19.71,124.51,152.87,32.85
124.0,28.0,165.0,6.77,45.38,19.46,21.22,98.66,121.65,35.36
75.0,7.0,103.0,6.78,57.01,29.04,24.9,123.94,181.48,41.49
95.0,10.0,190.0,6.34,52.5,26.9,19.89,114.13,168.15,33.15
121.0,19.0,169.0,7.42,45.12,23.54,21.95,98.08,147.1,36.59
75.0,9.0,185.0,7.99,54.77,28.04,20.04,119.07,175.25,33.4
71.0,9.0,172.0,8.24,54.63,27.37,20.92,118.76,171.06,34.87
71.0,10.0,117.0,7.81,55.33,26.58,23.44,120.28,166.1,39.07
103.0,20.0,17.0,7.73,49.65,22.04,29.34,107.94,137.75,48.89
84.0,9.0,169.0,5.4,54.16,27.75,21.65,117.75,173.45,36.09
59.0,8.0,91.0,7.99,57.62,28.35,25.08,125.25,177.16,41.8
109.0,11.0,159.0,6.14,47.68,26.32,20.94,103.64,164.53,34.9
76.0,10.0,171.0,7.67,53.08,27.27,20.72,115.4,170.41,34.53
71.0,13.0,155.0,7.95,55.67,26.24,21.65,121.02,164.01,36.09
69.0,19.0,154.0,5.06,55.35,23.57,21.31,120.33,147.32,35.51
108.0,23.0,170.0,6.65,47.98,22.33,20.65,104.3,139.57,34.41
71.0,14.0,19.0,7.52,55.1,26.22,30.47,119.78,163.85,50.79
99.0,15.0,190.0,7.38,50.12,24.4,19.2,108.97,152.5,32.0
115.0,19.0,192.0,6.67,45.59,24.21,18.78,99.12,151.31,31.31
60.0,10.0,154.0,8.05,56.83,26.93,22.23,123.54,168.32,37.05
69.0,9.0,103.0,5.76,57.9,28.33,25.07,125.88,177.04,41.78
94.0,23.0,174.0,7.3,50.17,21.44,20.25,109.07,134.0,33.75
68.0,8.0,119.0,5.57,55.52,27.9,23.07,120.7,174.39,38.45
54.0,7.0,125.0,8.02,60.67,27.52,23.13,131.89,171.97,38.55
54.0,13.0,170.0,7.93,61.52,25.8,20.77,133.75,161.23,34.62
98.0,21.0,179.0,7.38,49.46,21.36,20.84,107.53,133.53,34.74
113.0,17.0,191.0,6.36,47.11,24.68,19.02,102.4,154.25,31.7
101.0,36.0,165.0,7.5,50.07,16.46,21.06,108.85,102.88,35.1
113.0,10.0,166.0,6.35,48.78,26.77,21.38,106.05,167.32,35.63
79.0,15.0,121.0,7.69,53.41,25.18,22.55,116.11,157.38,37.58
98.0,10.0,68.0,7.01,50.2,26.81,27.44,109.14,167.59,45.73
60.0,14.0,155.0,7.65,58.62,25.07,21.11,127.44,156.71,35.18
98.0,14.0,113.0,7.8,50.75,25.91,24.39,110.32,161.97,40.64
94.0,8.0,169.0,8.14,50.9,28.13,20.98,110.65,175.79,34.97
108.0,23.0,170.0,6.65,48.29,22.44,21.34,104.98,140.27,35.57
91.0,13.0,179.0,6.29,50.7,25.61,20.54,110.22,160.07,34.23
103.0,20.0,110.0,6.0,49.21,23.35,23.21,106.98,145.94,38.69
98.0,9.0,195.0,5.68,50.19,27.76,18.91,109.1,173.49,31.51
103.0,5.0,19.0,5.62,49.59,29.98,29.93,107.8,187.36,49.88
104.0,25.0,133.0,7.32,48.76,20.23,22.92,105.99,126.45,38.2
85.0,21.0,139.0,7.54,53.38,22.27,22.9,116.04,139.19,38.16
54.0,13.0,124.0,7.8,60.01,25.83,23.95,130.46,161.44,39.92
126.0,43.0,115.0,5.42,44.92,15.0,24.4,97.66,93.75,40.67
113.0,13.0,183.0,6.52,47.68,26.3,19.91,103.66,164.36,33.19
95.0,17.0,181.0,7.54,51.04,24.49,19.22,110.96,153.06,32.03
84.0,10.0,195.0,7.77,53.2,27.61,19.07,115.65,172.54,31.79
96.0,23.0,150.0,7.63,50.22,22.32,22.21,109.18,139.51,37.01
103.0,14.0,114.0,7.39,49.65,26.32,23.61,107.94,164.5,39.36
69.0,14.0,154.0,7.84,56.12,25.23,22.08,122.0,157.66,36.79
99.0,17.0,185.0,7.39,51.87,24.32,20.35,112.77,152.02,33.92
95.0,6.0,19.0,4.78,52.26,28.68,29.92,113.61,179.22,49.87
84.0,9.0,169.0,5.4,53.51,27.71,19.33,116.32,173.21,32.21
94.0,9.0,122.0,7.66,50.59,27.34,23.04,109.98,170.88,38.4
60.0,10.0,171.0,7.99,57.11,28.22,21.68,124.15,176.39,36.14
74.0,10.0,180.0,7.29,56.15,27.47,19.93,122.07,171.68,33.21
83.0,17.0,110.0,7.5,53.61,23.97,23.41,116.54,149.81,39.01
75.0,15.0,169.0,7.54,55.38,25.72,21.48,120.4,160.73,35.8
91.0,19.0,169.0,6.53,50.4,21.9,20.87,109.57,136.86,34.78
84.0,9.0,169.0,5.4,53.94,26.49,21.41,117.27,165.57,35.69
60.0,9.0,165.0,8.12,58.36,28.18,21.24,126.88,176.11,35.4
71.0,63.0,165.0,7.66,54.91,15.0,21.33,119.37,93.75,35.55
125.0,21.0,164.0,7.42,44.62,22.45,21.34,97.01,140.31,35.57
71.0,13.0,155.0,7.95,56.01,25.1,22.05,121.76,156.9,36.75
95.0,9.0,194.0,5.51,51.04,27.69,20.5,110.96,173.04,34.16
69.0,22.0,160.0,6.99,55.97,23.05,21.89,121.67,144.08,36.48
108.0,23.0,184.0,6.8,48.32,21.89,19.17,105.04,136.84,31.95
110.0,12.0,183.0,7.55,47.8,26.45,20.24,103.91,165.32,33.74
109.0,6.0,113.0,5.67,48.32,28.79,24.79,105.05,179.92,41.32
65.0,13.0,133.0,7.79,58.18,25.66,23.62,126.47,160.4,39.37
69.0,22.0,160.0,6.99,54.15,20.57,21.19,117.71,128.58,35.31
66.0,74.0,138.0,7.62,56.61,15.0,23.3,123.07,93.75,38.84
95.0,17.0,171.0,6.7,51.14,24.61,21.2,111.18,153.8,35.34
54.0,9.0,114.0,8.1,59.44,26.75,25.45,129.21,167.22,42.41
113.0,17.0,174.0,7.04,47.1,23.7,20.18,102.4,148.14,33.64
95.0,10.0,190.0,6.34,49.59,26.56,19.35,107.81,165.97,32.24
99.0,12.0,175.0,7.46,50.46,25.77,20.35,109.7,161.07,33.91
103.0,17.0,103.0,7.05,50.78,24.13,24.57,110.4,150.83,40.96
94.0,25.0,174.0,7.53,49.97,19.25,20.11,108.64,120.31,33.52
69.0,17.0,194.0,7.95,56.89,24.47,17.98,123.68,152.93,29.96
103.0,14.0,114.0,7.39,49.14,25.9,23.94,106.82,161.89,39.9
83.0,21.0,122.0,7.72,53.35,22.15,23.86,115.98,138.43,39.77
74.0,9.0,110.0,8.4,54.36,26.21,24.15,118.17,163.82,40.26
121.0,25.0,120.0,7.5,45.53,19.9,24.77,98.98,124.39,41.28
111.0,21.0,121.0,7.98,48.84,23.04,23.75,106.17,144.0,39.58
74.0,9.0,187.0,8.07,55.67,26.03,20.43,121.01,162.71,34.04
53.0,6.0,191.0,8.18,60.79,28.84,19.67,132.14,180.26,32.78
118.0,22.0,181.0,7.48,47.34,21.14,20.55,102.92,132.14,34.26
126.0,43.0,115.0,5.42,45.15,15.0,24.24,98.15,93.75,40.4
84.0,23.0,194.0,7.78,54.6,20.99,20.04,118.69,131.22,33.41
108.0,20.0,111.0,7.13,48.75,22.99,24.37,105.98,143.7,40.61
119.0,17.0,184.0,6.72,46.86,24.44,20.21,101.87,152.75,33.68
91.0,9.0,191.0,7.65,51.56,28.8,19.72,112.09,180.01,32.87
74.0,10.0,181.0,6.76,55.25,27.13,20.0,120.12,169.55,33.33
103.0,11.0,150.0,6.85,48.84,27.03,22.2,106.18,168.91,37.0
97.0,15.0,113.0,7.72,51.39,24.11,25.34,111.72,150.68,42.23
95.0,7.0,194.0,1.55,50.06,29.31,19.22,108.82,183.21,32.04
79.0,6.0,181.0,,54.83,28.59,20.35,119.19,178.71,33.92
68.0,13.0,133.0,6.43,56.25,25.56,23.65,122.28,159.77,39.41
63.0,8.0,184.0,8.79,58.34,28.14,20.53,126.82,175.85,34.22
65.0,13.0,133.0,7.79,57.6,24.96,23.03,125.22,156.01,38.38
79.0,11.0,144.0,7.49,55.66,26.94,21.17,120.99,168.36,35.28
113.0,15.0,176.0,7.04,47.98,25.58,20.7,104.31,159.88,34.5
103.0,21.0,198.0,7.03,48.14,22.48,18.01,104.66,140.47,30.02
124.0,24.0,95.0,7.23,45.15,20.0,26.03,98.14,124.98,43.39
74.0,9.0,48.0,8.12,54.26,27.63,28.2,117.96,172.66,47.01
85.0,10.0,171.0,5.14,52.59,27.7,21.24,114.32,173.1,35.4
115.0,9.0,143.0,6.38,48.21,26.57,21.97,104.8,166.08,36.61
54.0,10.0,159.0,8.16,59.71,26.61,20.68,129.8,166.28,34.47
95.0,7.0,103.0,8.02,50.44,29.13,24.95,109.65,182.04,41.58
55.0,13.0,58.0,8.14,58.19,26.06,27.5,126.5,162.89,45.84
69.0,7.0,189.0,7.71,56.23,28.85,19.41,122.23,180.29,32.36
54.0,17.0,162.0,7.84,58.23,25.22,21.32,126.58,157.6,35.54
64.0,9.0,144.0,8.07,56.66,27.98,23.74,123.18,174.88,39.57
103.0,9.0,190.0,5.94,49.65,28.09,20.02,107.93,175.59,33.36
84.0,17.0,135.0,6.72,54.12,25.73,23.42,117.66,160.79,39.04
64.0,15.0,179.0,7.86,57.69,24.87,20.68,125.41,155.45,34.47
85.0,7.0,144.0,8.24,51.17,28.12,23.1,111.23,175.76,38.5
98.0,15.0,195.0,7.69,50.64,25.26,19.2,110.09,157.85,32.01
80.0,8.0,19.0,5.37,54.06,28.41,28.83,117.52,177.58,48.05
100.0,15.0,166.0,7.42,50.33,24.68,20.95,109.42,154.27,34.91
103.0,41.0,194.0,6.49,50.69,15.0,19.77,110.2,93.75,32.94
99.0,12.0,175.0,7.46,48.55,27.74,20.02,105.54,173.35,33.36
85.0,7.0,144.0,8.24,52.53,28.8,22.27,114.19,179.98,37.12
